Nov 23 00:28:47 lvl2: 	EmulationStation - v2.11.2rp, built May  9 2023 - 08:36:03
Nov 23 00:28:47 lvl2: 	Parsing XML file "/usr/share/EmulationStation/resources/mamenames.xml"...
Nov 23 00:28:47 lvl2: 	Parsing XML file "/usr/share/EmulationStation/resources/mamebioses.xml"...
Nov 23 00:28:47 lvl2: 	Parsing XML file "/usr/share/EmulationStation/resources/mamedevices.xml"...
Nov 23 00:28:47 lvl2: 	Creating window...
Nov 23 00:28:48 lvl2: 	Created window successfully.
Nov 23 00:28:48 lvl2: 	GL vendor:   Intel
Nov 23 00:28:48 lvl2: 	GL renderer: Mesa Intel(R) HD Graphics 620 (KBL GT2)
Nov 23 00:28:48 lvl2: 	GL version:  4.6 (Compatibility Profile) Mesa 23.2.1-arch1.2
Nov 23 00:28:48 lvl2: 	Checking available OpenGL extensions...
Nov 23 00:28:48 lvl2: 	 ARB_texture_non_power_of_two: ok
Nov 23 00:28:48 lvl2: 	Loading system config file /home/ziko/.emulationstation/es_systems.cfg...
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/3do" is not a directory!
Nov 23 00:28:48 lvl1: 	System "3do" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/amiga" is not a directory!
Nov 23 00:28:48 lvl1: 	System "amiga" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/atari2600" is not a directory!
Nov 23 00:28:48 lvl1: 	System "atari2600" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/atari7800" is not a directory!
Nov 23 00:28:48 lvl1: 	System "atari7800" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/atarijaguar" is not a directory!
Nov 23 00:28:48 lvl1: 	System "atarijaguar" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/atarilynx" is not a directory!
Nov 23 00:28:48 lvl1: 	System "atarilynx" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/atarist" is not a directory!
Nov 23 00:28:48 lvl1: 	System "atarist" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/c64" is not a directory!
Nov 23 00:28:48 lvl1: 	System "c64" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/fba" is not a directory!
Nov 23 00:28:48 lvl1: 	System "fba" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/fds" is not a directory!
Nov 23 00:28:48 lvl1: 	System "fds" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	System "gamegear" has no games! Ignoring it.
Nov 23 00:28:48 lvl2: 	Parsing XML file "/home/ziko/Games/ROMS/gb/gamelist.xml"...
Nov 23 00:28:48 lvl0: 	Error parsing XML file "/home/ziko/Games/ROMS/gb/gamelist.xml"!
	No document element found
Nov 23 00:28:48 lvl2: 	Parsing XML file "/home/ziko/Games/ROMS/gba/gamelist.xml"...
Nov 23 00:28:48 lvl1: 	System "gbc" has no games! Ignoring it.
Nov 23 00:28:48 lvl2: 	Parsing XML file "/home/ziko/.emulationstation/gamelists/gc/gamelist.xml"...
Nov 23 00:28:48 lvl1: 	  Warning from theme "/home/ziko/.emulationstation/themes/carbon-centered/gc/theme.xml"
    could not find file "./art/controller.svg" (which resolved to "/home/ziko/.emulationstation/themes/carbon-centered/gc/art/controller.svg") 
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/genesis" is not a directory!
Nov 23 00:28:48 lvl1: 	System "genesis" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	  Unknown platform for system "gw" (platform "gw" from list "gw")
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/gw" is not a directory!
Nov 23 00:28:48 lvl1: 	System "gw" has no games! Ignoring it.
Nov 23 00:28:48 lvl1: 	  Unknown platform for system "love" (platform "love" from list "love")
Nov 23 00:28:48 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/love" is not a directory!
Nov 23 00:28:48 lvl1: 	System "love" has no games! Ignoring it.
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/.emulationstation/gamelists/mame/gamelist.xml"...
Nov 23 00:28:49 lvl1: 	System "mastersystem" has no games! Ignoring it.
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/Games/ROMS/megadrive/gamelist.xml"...
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/msx" is not a directory!
Nov 23 00:28:49 lvl1: 	System "msx" has no games! Ignoring it.
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/.emulationstation/gamelists/n64/gamelist.xml"...
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/nds" is not a directory!
Nov 23 00:28:49 lvl1: 	System "nds" has no games! Ignoring it.
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/.emulationstation/gamelists/neogeo/gamelist.xml"...
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/.emulationstation/gamelists/nes/gamelist.xml"...
Nov 23 00:28:49 lvl1: 	System "ngp" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	System "ngpc" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/pc" is not a directory!
Nov 23 00:28:49 lvl1: 	System "pc" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/pcengine" is not a directory!
Nov 23 00:28:49 lvl1: 	System "pcengine" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/pcfx" is not a directory!
Nov 23 00:28:49 lvl1: 	System "pcfx" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	  Warning from theme "/home/ziko/.emulationstation/themes/carbon-centered/ps2/theme.xml"
    could not find file "./art/controller.svg" (which resolved to "/home/ziko/.emulationstation/themes/carbon-centered/ps2/art/controller.svg") 
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/.emulationstation/gamelists/psp/gamelist.xml"...
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/saturn" is not a directory!
Nov 23 00:28:49 lvl1: 	System "saturn" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/scummvm" is not a directory!
Nov 23 00:28:49 lvl1: 	System "scummvm" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	System "sega32x" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	System "segacd" has no games! Ignoring it.
Nov 23 00:28:49 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/sg-1000" is not a directory!
Nov 23 00:28:49 lvl1: 	System "sg-1000" has no games! Ignoring it.
Nov 23 00:28:49 lvl2: 	Parsing XML file "/home/ziko/Games/ROMS/snes/gamelist.xml"...
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/vectrex" is not a directory!
Nov 23 00:28:50 lvl1: 	System "vectrex" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/videopac" is not a directory!
Nov 23 00:28:50 lvl1: 	System "videopac" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/virtualboy" is not a directory!
Nov 23 00:28:50 lvl1: 	System "virtualboy" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	  Warning from theme "/home/ziko/.emulationstation/themes/carbon-centered/wii/theme.xml"
    could not find file "./art/controller.svg" (which resolved to "/home/ziko/.emulationstation/themes/carbon-centered/wii/art/controller.svg") 
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/wiiu" is not a directory!
Nov 23 00:28:50 lvl1: 	System "wiiu" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/wonderswan" is not a directory!
Nov 23 00:28:50 lvl1: 	System "wonderswan" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/wonderswancolor" is not a directory!
Nov 23 00:28:50 lvl1: 	System "wonderswancolor" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/zxspectrum" is not a directory!
